index,dataset,doc_id,seg_id,source_text,reference_text,translated_text,input_tokens,output_tokens,cost
10,wmttest2023.zh-en.xml,GCC-1,41,"zhe ge xuan xiang ,  he ta de fan yi xuan xiang ,  shi na yang de cheng xu gong zuo zai dui ying de mo ren zhi shang .","这个选项, 和它的反义选项, 使那样的程序工作在对应的默认值上.",这个选项，和它的反义选项，是那样的程序工作在对应的默认之上。,75,34,0.000000
11,wmttest2023.zh-en.xml,chinanews.com.280870,1,fei yong sheng yi ban shen zhi geng duo ？,费用省一半甚至更多？,费用生意般深至更多？,46,14,0.000000
12,newstest2018.zh-en.xml,washpost.116881,16,huo gen bing bu shi yi ge fan dong de ji zao fen zi 。,霍根并不是一个反动的急躁分子。,霍根并不是一个反动的极造分子。,49,20,0.000000
13,newstest2019.zh-en.xml,chinanews.com.1466,6,ta ren wei ， zhi you jiang li shi ming ke zai xin zhong ， fang neng jiang kang zhan jing shen chuan cheng xia qu 。,他认为，只有将历史铭刻在心中，方能将抗战精神传承下去。,他认为，只有将历史铭刻在心中，方能将抗战精神传承下去。,75,34,0.000000
14,wmttest2023.zh-en.xml,chinese.dw.com.9579,28,a la si jia da di zhen （1964 nian ）,阿拉斯加大地震（1964年）,阿拉斯加大地震（1964年）,46,19,0.000000
15,newstest2021.zh-en.xml,chinanews.com.229486,6,2 yue 28 ri ， yi se lie ben tu que zhen di yi li xin guan fei yan bing li ， yi xun su cai qu le guan bi suo you chu ru jing kou an ， zan ting fei bi yao hang ye ， xue xiao gai wei wang shang shou ke ， xian zhi gong gong jiao tong he fei bi yao she jiao huo dong ， feng suo yi qing yan zhong cheng shi ， jun jing lian he wei hu fang kong ju cuo deng 。,2月28日，以色列本土确诊第一例新冠肺炎病例，以迅速采取了关闭所有出入境口岸，暂停非必要行业，学校改为网上授课，限制公共交通和非必要社交活动，封锁疫情严重城市，军警联合维护防控举措等。,2月28日，以色列本土确诊第一例新冠肺炎病例，以迅速采取了关闭所有出入境口岸，暂停飞比要航业，学校改为网上授课，限制公共交通和飞比要社交活动，封锁疫情严重城市，军警联合维护防控措施等。,169,107,0.000000
16,newstest2020.zh-en.xml,chinanews.com.102756,1,yue 8 yi ren ci guo qing chu you zhe she zhong guo lv you gong xu liang wang,约8亿人次国庆出游折射中国旅游供需两旺,约8亿人次过清楚有着社中国旅游共须两望,60,26,0.000000
17,wmttest2022.zh-en.xml,social_zh_douban.com_210174796,3,di shi ba tiao   gong an bu xiao fang ju shi yi ji zhu ce xiao fang gong cheng shi zi ge de zhu ce shen pi bu men 。,第十八条 公安部消防局是一级注册消防工程师资格的注册审批部门。,第十八条　公安部消防局是一级注册消防工程师资格的注册审批部门。,72,35,0.000000
18,newstest2019.zh-en.xml,chinanews.com.1800,5,mu qian ， shang hai di qu ying er si wang lv jiang zhi 3.71 ‰ ，  ming xian di yu quan guo ping jun shui ping ， da dao fa da guo jia de xian jin shui ping 。,目前，上海地区婴儿死亡率降至3.71 ‰ ， 明显低于全国平均水平，达到发达国家的先进水平。,目前，上海地区婴儿死亡率降至3.71‰，明显低于全国平均水平，达到发达国家的先进水平。,94,50,0.000000
19,newstest2020.zh-en.xml,chinanews.com.102805,3,CCF da shu ju xue shu hui yi yi jia qiang cong shi da shu ju ling yu guo nei wai xue zhe zhi jian lian xi yu jiao liu ， cu jin duo xue ke jiao cha rong he yu da shu ju chan ye fa zhan wei zong zhi ， li jing 7 jie ， yi fa zhan cheng wei yi ke yan cheng guo jiao liu wei zhu 、 guo nei zui you ying xiang de da shu ju xue shu hui yi ， hui yi nei rong kuo zhan dao ji chu li lun 、 ji shu ying yong deng ling yu 。,CCF大数据学术会议以加强从事大数据领域国内外学者之间联系与交流，促进多学科交叉融合与大数据产业发展为宗旨，历经7届，已发展成为以科研成果交流为主、国内最有影响的大数据学术会议，会议内容扩展到基础理论、技术应用等领域。,CCF大数据学术会议以加强从事大数据领域国内外学者之间联系与交流，促进多学科交叉融合与大数据产业发展为宗旨，历经7届，已发展成为以学术国际交流为主、国内最有影响的大数据学术会议，会议内容覆盖到基础理论、技术应用等领域。,196,116,0.000000
20,newstest2018.zh-en.xml,cctv_news_1217,440,wo guo kong jian ke xue wei xing xi lie de shou fa xing ， tong shi ye shi shi jie shang shou ke an wu zhi li zi tan ce wei xing wu kong,我国空间科学卫星系列的首发星，同时也是世界上首颗暗物质粒子探测卫星悟空,我国空间科学卫星系列的首发星，同时也是世界上首颗按无重力子弹测卫星无空,77,43,0.000000
21,newstest2018.zh-en.xml,014_wemedia,5,bi sai jie shu hou ， dui zhang jiang cuo biao shi ， ta xi wang tong guo can jia bi sai ji lei jing yan ， wei xi zang de lan qiu shi ye jin li 。,比赛结束后，队长江措表示，他希望通过参加比赛积累经验，为西藏的篮球事业尽力。,比赛结束后，队长蒋错表示，他希望通过参加比赛积累经验，为西藏的篮球事业尽力。,86,49,0.000000
22,newsdev2017.zh-en.xml,abcnews.199680,12,fan dui zhe men ze biao shi ， ta men dan you gai zhou jiang tong guo zhe liang tiao sui dao cong sa ke la men tuo he yi ji jiu jin shan wan zhong fen liu tai duo de shui ， cong er dui jia li fu ni ya zhou bei bu zao cheng sun hai ， bing jin er wei xie na li wu zhong de sheng cun 。,反对者们则表示，他们担忧该州将通过这两条隧道从萨克拉门托河以及旧金山湾中分流太多的水，从而对加利福尼亚州北部造成损害，并进而威胁那里物种的生存。,反对者们则表示，他们担忧该州将通过这两条隧道从萨克拉门托河以及旧金山湾中分流太多的水，从而对加利福尼亚州北部造成损害，并进而威胁那里物种的生存。,132,85,0.000000
23,wmttest2023.zh-en.xml,grocery-3-zh_0192439-140,5,hai you pai xia shi ti shi er shi ji hao dao ， zhe ge shi 14 hao shou dao de ， wo di yi ci zai zhe li hai wai gou ， zhi shi ba zi ji de yi huo xie xia lai ， huo xu zhe dou shi zheng chang de ？,还有拍下时提示二十几号到，这个是14号收到的，我第一次在这里海外购，只是把自己的疑惑写下来，或许这都是正常的？,还有排下是体是二十纪好到，这个是14号收到的，我第一次在这里海外购，只是把自己的衣货写下来，或许这都是正常的？,107,60,0.000000
24,newstest2018.zh-en.xml,124_content_27676754,1,ju ju zu yi ming yan yuan tou lu ， zhang mo zai xian chang shi ge xin si xi ni de ren ， cong qun zhong yan yuan dao fu hua dao ， fang fang mian mian dou yao qin zi ding dao wei 。,据剧组一名演员透露，张末在现场是个心思细腻的人，从群众演员到服化道，方方面面都要亲自盯到位。,句句组一鸣言远头陆，张莫在现场是个心思细腻的人，从群众眼远到浮华道，方方面面都要亲自定到位。,96,58,0.000000
25,newstest2020.zh-en.xml,chinanews.com.102645,12,bao dao zhi chu ， xin ban 《 bi hu yu yi min fa 》 yi jing ban bu yi nian ， ta dao zhi zhi zheng dang nei bu yi jian fen qi ， dan tong shi you wu fa an fu you pai fan dui dang 。,报道指出，新版《庇护与移民法》已经颁布一年，它导致执政党内部意见分歧，但同时又无法安抚右派反对党。,报道之处，新班《比户与一民法》已经颁布一年，他道至之政当内部已见分歧，但同时有无法安抚右派反对党。,100,56,0.000000
26,wmttest2023.zh-en.xml,gb-2,4,biao  3  zhong mei you zhi ming de si zi jie ren ma wei fen pei jian  6.3。,表 3 中没有指明的四字节人码位分配见 6.3。,表3中没有指明的四字节人码位分配件6.3。,61,25,0.000000
27,newstest2017.zh-en.xml,ifeng0812.news.49766540_0,4,shu ju xian shi ， zui jin １０ nian li ， xin xi lan nian jun yi min jing liu ru shu liang wei ２.１８ wan ren ， nian jun ren kou zi ran zeng zhang shu liang wei ３.２３ wan ren 。,数据显示，最近１０年里，新西兰年均移民净流入数量为２.１８万人，年均人口自然增长数量为３.２３万人。,数据显示，最近１０年里，新西兰年均以民警流入数量为２.１８万人，年均人口自然增长数量为３.２３万人。,105,55,0.000000
28,newstest2021.zh-en.xml,voa-voachinese.2104,8,wei ji ni ya zhou de a ling dun xian xing qi wu ye jia ru le su song 。,维吉尼亚州的阿灵顿县星期五也加入了诉讼。,维基尼亚州的阿灵顿县五月也加入了诉讼。,55,30,0.000000
29,wmttest2022.zh-en.xml,xinhua-zh-01.104145,12,zhe xiang fa ming zai jin nian di 44 jie rui shi ri nei wa guo ji fa ming zhan zhong huo de yin jiang 。,这项发明在今年第44届瑞士日内瓦国际发明展中获得银奖。,这项发明在今年第44届瑞士日内瓦国际发明展中获得银奖。,70,35,0.000000
30,newsdev2017.zh-en.xml,peopledaily0812.energy.c71661-28631514,16,ye nei ren shi biao shi ， he dian zhan xiang mu bu jin you zhu yu ying guo min zhong jiang di yong dian cheng ben ， er qie jiang la dong dang di jing ji 、 dai dong jiu ye 。,业内人士表示，核电站项目不仅有助于英国民众降低用电成本，而且将拉动当地经济、带动就业。,业内人士表示，核电站项目不仅有助于英国民众降低用电成本，而且将拉动当地经济、带动就业。,95,49,0.000000
31,newsdev2017.zh-en.xml,ifeng0812.news.49767923_0,3,shuang fang hai jiang gong tong da zao nong cun dian zi shang wu quan guo xing shi fan cheng shi ， tui dong chan ye jie gou tiao zheng he you hua sheng ji 。,双方还将共同打造农村电子商务全国性示范城市，推动产业结构调整和优化升级。,双方还将共同打造农村电子商务全国示范城市，推动产业结构调整和优化升级。,88,39,0.000000
32,newstest2021.zh-en.xml,chinanews.com.229793,2,2020-07-26 20:26:01  lai yuan ： zhong guo xin wen wang   zuo zhe ： yue chuan   ze ren bian ji ： yue chuan,2020-07-26 20:26:01 来源：中国新闻网 作者：岳川 责任编辑：岳川,2020-07-26 20:26:01  来源：中国新闻网   作者：粤川   责任编辑：粤川,79,43,0.000000
33,newstest2019.zh-en.xml,qq.com.240,14,wu shu ying lie yi xian xue jiao guan li xiang ， yong sheng ming jian xing xin yang ， ming ji ta men de ying ming ， chuan cheng ta men de jing shen ， jiu shi shou hu min zu de gen yu hun 。,无数英烈以鲜血浇灌理想，用生命践行信仰，铭记他们的英名，传承他们的精神，就是守护民族的根与魂。,武术英烈一线血教管理想，用生命践行信仰，铭记他们的英名，传承他们的精神，就是守护民族的根与魂。,100,55,0.000000
34,newstest2019.zh-en.xml,chinanews.com.1625,7,zhi yin guo qu sheng huo zai zhe zuo cheng shi de ren men bao shou wu mai zhi ku ， you ci ge wai ke pan lan tian ， er zai bei jing da xiang “ lan tian bao wei zhan  ” ，  chi xu gai shan kong qi zhi liang hou ， wu mai bian shao ， lan tian zeng duo ， min zhong kan zai yan li xi zai xin shang ， huo de de xing fu gan ye shi ge wai you fen liang 。,只因过去生活在这座城市的人们饱受雾霾之苦，由此格外渴盼蓝天，而在北京打响“蓝天保卫战 ” ， 持续改善空气质量后，雾霾变少，蓝天增多，民众看在眼里喜在心上，获得的幸福感也是格外有份量。,"只因过去生活在这座城市的人们饱受雾霾之苦，由此格外渴盼蓝天，而在北京大象""蓝天保卫战""，持续改善空气质量后，雾霾便少，蓝天增多，民众看在眼里喜在心上，获得得幸福感也是格外有分量。",168,111,0.000000
35,newstest2017.zh-en.xml,sina0812.tech.doc-ifxuxnai9861987-p3,1,zi iPhoneSE jing yan liang xiang zhi hou ， shou ji shi chang ye ying lai le xiao ping ji de re chao 。,自iPhoneSE惊艳亮相之后，手机市场也迎来了小屏机的热潮。,自 iPhone SE 经验两项之后，手机市场也迎来了小屏机的热潮。,68,34,0.000000
36,wmttest2023.zh-en.xml,digital_ebook_purchase-3-zh_0263846-153,5,ju li ji you guo nei de you you guo wai de ; ji you zhi ming qi ye jia huo xiao shou yuan you you ming bu jian jing zhuan de ren 。,举例既有国内的又有国外的;既有知名企业家或销售员又有名不见经传的人。,居里既有国内的，又有国外的；既有知名企业家或销售员，又有名不见经传的人。,76,40,0.000000
37,wmttest2022.zh-en.xml,social_zh_weibo.com_148754204,9,sheng li qi qian you yu zi gong chong xue he qian lie xian su shi fang guo duo ， rong yi la du zi 。,生理期前由于子宫充血和前列腺素释放过多，容易拉肚子。,盛利起千游鱼自宫充穴和千烈县素师放国多，容易拉肚子。,67,38,0.000000
38,newsdev2017.zh-en.xml,ifeng0812.news.49765487_0,4,xian zai wo men da suan yong shui ni jiao zhu di ba ， zhe yang fang hong hu an hui geng jian gu ， ke yi di yu 50 nian yi yu de hong shui 。”,现在我们打算用水泥浇筑堤坝，这样防洪护岸会更坚固，可以抵御50年一遇的洪水。”,现在我们打算用水泥浇筑地吧，这样防洪护岸会更坚固，可以抵御50年一遇的洪水。,86,51,0.000000
39,newstest2018.zh-en.xml,alibaba_web_data_20180124,225,qu bie yu chuan tong de da mai chang 、 chao shi ， he ma xian sheng zai hen duo xiao fei zhe yan li shi yi jia hao wan hao chi de “ wang hong dian ”， shen zhi you zhong jie ji gou da chu le “ he qu fang ” de gai nian 。,区别于传统的大卖场、超市，盒马鲜生在很多消费者眼里是一家好玩好吃的“网红店”，甚至有中介机构打出了“盒区房”的概念。,"区别于传统的大卖场、超市，何麻先生在很多消费者眼里是一家好玩好吃的""网红店""，甚至有中介机构打出了""和趣方""的概念。",113,69,0.000000
40,newstest2018.zh-en.xml,004_3810009,1,jie zhi dang ri shou pan ， niu yue shang pin jiao yi suo 2016 nian 8 yue jiao huo de qing zhi yuan you qi huo jia ge shang zhang 2.04 mei yuan ， shou yu mei tong 46.80 mei yuan ， zhang fu wei 4.56%。,截至当日收盘，纽约商品交易所2016年8月交货的轻质原油期货价格上涨2.04美元，收于每桶46.80美元，涨幅为4.56%。,截至当日收盘，纽约商品交易所2016年8月交货的轻质原油期货价格上涨2.04美元，收于每桶46.80美元，涨幅为4.56%。,116,67,0.000000
41,wmttest2023.zh-en.xml,chinanews.com.280817,19,( ren min ri bao   ji zhe   yan   huan ),(人民日报 记者 颜 欢),(人民日报 记者 颜 欢),46,18,0.000000
42,newstest2017.zh-en.xml,sina0812.news.doc-ifxuxnpy9305340,12,ru ， si chuan yao qiu ， ge di gong an pai chu suo huo zhe shou wei tuo de she qu fu wu ji gou yao yan ge zhi xing he ding de shou fei xiang mu ji shou fei biao zhun ， jian jue jin zhi chao fan wei 、 chao biao zhun shou fei huo da che shou fei 。,如，四川要求，各地公安派出所或者受委托的社区服务机构要严格执行核定的收费项目及收费标准，坚决禁止超范围、超标准收费或搭车收费。,如，四川要求，各地公安派出所或者受委托的社区服务机构要严格执行核定的收费项目及收费标准，坚决禁止超范围、超标准收费或搭车收费。,130,70,0.000000
43,newstest2021.zh-en.xml,xinhua-zh-01.120581,4,jiu jiang shi xun yang qu ren wu bu fu bu zhang wang hui shuo ， shou hong zai ying xiang ， ta men cong 25 ri kai shi ， ji zhong 3 tian shi jian zu zhi ying zheng qing nian ti jian 。,九江市浔阳区人武部副部长王辉说，受洪灾影响，他们从25日开始，集中3天时间组织应征青年体检。,九江市浔阳区人武部副部长王辉说，首红在应响，他们从25日开始，集中3天时间组织营正青年体检。,101,52,0.000000
44,newstest2019.zh-en.xml,chinanews.com.9951,8,zhan shi de cheng guo chuang xin huo yue 、 ying yong fan wei guang 、 fu she dai dong zuo yong da ， fan ying liao dang shi quan qiu hu lian wang ling yu zui xin 、 zui zhong yao de ke ji cheng guo tu po ， ti xian le wang luo xin xi ling yu fa zhan de su du he wei lai qian jing 。,展示的成果创新活跃、应用范围广、辐射带动作用大，反映了当时全球互联网领域最新、最重要的科技成果突破，体现了网络信息领域发展的速度和未来前景。,展示的成果创新活跃、应用范围广、辐射带动作用大，反映了当时全球互联网领域最新、最重要的科技成果突破，体现了网络信息领域发展的速度和未来前景。,141,76,0.000000
45,wmttest2022.zh-en.xml,ecommerce_zh_jd.com_93697042,1,xiao bian wei da jia dai lai ou mi jia ji xie dui biao na kuan hao ？,小编为大家带来欧米茄机械对表哪款好？,小编为大家带来欧米茄机械对表哪款好？,57,25,0.000000
46,newstest2018.zh-en.xml,sogou_web_data_20180206,77,zai jia nian hua de xian chang ， shi min men chu le ke yi xuan gou xin yi de nong chan pin zhi wai ， hai ke can guan zhan lan qu zhan chu de ben di te xuan xin xian nong zuo wu ji you yu 。,在嘉年华的现场，市民们除了可以选购心仪的农产品之外，还可参观展览区展出的本地特选新鲜农作物及幼鱼。,在家年画的现场，市民们除了可以选购新颖的农产品之外，还可参观展览区展出的本地特选新鲜农作物及油鱼。,100,58,0.000000
47,newstest2017.zh-en.xml,reuters.165952,5,liang ren 2015 nian jiao na le 20.3% de lian bang shui 。,两人2015年缴纳了20.3%的联邦税。,两人2015年缴纳了20.3%的联邦税。,56,24,0.000000
48,newstest2020.zh-en.xml,nhan_dan-zh.330,5,ou meng wei yuan hui zhu xi rang - ke luo de • rong ke biao shi ， jia qiang dui jie shi shang shu zhu zhang de yi bu fen ， yin wei qi gei you guan ge guo ren min ji jing ji dai lai li yi 。,欧盟委员会主席让-克洛德•容克表示，加强对接是上述主张的一部分，因为其给有关各国人民及经济带来利益。,欧盟委员会主席让-克洛德·荣克表示，加强对接释上述主张的一部分，因为其给有关各国人民及经济带来利益。,101,58,0.000000
49,newstest2020.zh-en.xml,chinanews.com.102737,6,ju jie shao ，8 ke yuan xing jin zhi ji nian bi wei pu zhi bi ， han chun jin 8 ke ， zhi jing 22 hao mi ， mian e 100 yuan ， cheng se 99.9 % ，  zui da fa xing liang 10000 mei 。,据介绍，8克圆形金质纪念币为普制币，含纯金8克，直径22毫米，面额100元，成色99.9 % ， 最大发行量10000枚。,据介绍，8克圆形纪念币为普制币，含纯金8克，直径22毫米，面额100元，成色99.9%，最大发行量10000枚。,115,59,0.000000
50,newstest2018.zh-en.xml,dailymail.co.uk.233026,25,zheng ju biao ming zuo wei wo men yu fang ai zi bing du he zhi chuan bo zhe zhong zhi ming de gan ran ji bing de fang fa de yi bu fen ， zhe zhong yao wu ke yi dai lai zen me yang de bian ge 。,证据表明作为我们预防艾滋病毒和止传播这种致命的感染疾病的方法的一部分，这种药物可以带来怎么样的变革。,证据表明作为我们预防艾滋病毒和阻止传播这种致命的感染疾病的方法的一部分，这种药物可以带来怎么样的变革。,98,61,0.000000
51,newstest2019.zh-en.xml,chinanews.com.9912,15,shi guan jiang shi zhong ben zhe “ yi ren wei ben ” yuan ze ， chi xu guan zhu ci shi ， tui dong meng fang ji xu quan li sou jiu ， bing wei dang shi ren jia shu ti gong zui da xian du de xie zhu 。,使馆将始终本着“以人为本”原则，持续关注此事，推动蒙方继续全力搜救，并为当事人家属提供最大限度的协助。,"市关将始终本着""以人为本""原则，持续关注此事，推动蒙方继续全力搜救，并为当事人家属提供最大限度的协助。",106,58,0.000000
52,newstest2017.zh-en.xml,cbsnews.146232,21,jin guan bai er si jian cheng zi ji zai chang nian zhan ju guan jun bao zuo de guo cheng zhong bing mei you ji hua wei lai ， dan shi shi bu wan quan shi zhe yang de 。,尽管拜尔斯坚称自己在常年占据冠军宝座的过程中并没有计划未来，但事实不完全是这样的。,尽管百儿斯坚成自己在长年占据官军堡座的过程中并没有计划未来，但是事不完全是这样的。,88,50,0.000000
53,wmttest2022.zh-en.xml,en_zh-TW_CLIENT-05_2020-12-20-168_doc03,1,wo you zai #PRS_ORG# dui mian deng,我又在#PRS_ORG#对面等,我有在#PRS_ORG#对面等,47,18,0.000000
54,newstest2021.zh-en.xml,voa-voachinese.2098,23,liu yi si de yi ti jiang bei yun song dao a la ba ma zhou de shou fu meng ge ma li 。,刘易斯的遗体将被运送到阿拉巴马州的首府蒙哥马利。,流一司得一体将被运送到阿拉巴马州的首府蒙哥马利。,58,34,0.000000
55,newsdev2017.zh-en.xml,foxnews.68173,6,ran er xian zai ， dang xu yao fan dui pai shi jia bi yi wang geng duo ya li yi zai jin nian cu cheng gong min tou piao zhi shi ， bing fei quan guo ren min dou biao xian chu tong yang de re qing 。,然而现在，当需要反对派施加比以往更多压力以在今年促成公民投票之时，并非全国人民都表现出同样的热情。,然而现在，当需要反对派时假比一往更多压力已在今年促成功民投票之时，并非全国人民都表现出同样的热情。,104,53,0.000000
56,newstest2018.zh-en.xml,sogou_web_data_20180206,36,zhe xiang yan jiu you ao da li ya guo li da xue kai zhan ， wan zheng jie guo fa biao zai ben yue de ying guo 《 ke xue bao gao 》 za zhi shang 。,这项研究由澳大利亚国立大学开展，完整结果发表在本月的英国《科学报告》杂志上。,这项研究由澳大利亚国立大学开展，完整结果发表在本月的英国《科学报告》杂志上。,92,45,0.000000
57,newstest2021.zh-en.xml,voa-voachinese.2105,9,xing qi wu ， cheng qian shang wan de bo lan ren ( qi zhong da bu fen shi fu nv ) zai hua sha he qi ta yi xie cheng shi ju xing fan dui tui chu gong yue de kang yi 。,星期五，成千上万的波兰人(其中大部分是妇女)在华沙和其他一些城市举行反对退出公约的抗议。,星期五，成千上万的波兰人（其中大部分是妇女）在华沙和其他一些城市举行反对推出公约的抗议。,93,52,0.000000
58,newstest2020.zh-en.xml,nikkei-.111,1,9 yue 26 ri ， bai du xuan bu ， zai hu nan sheng zhang sha shi de te ding gong lu shang qi dong wu ren cao zuo de “4 ji ” wan quan zi dong jia shi chu zu che dui Robotaxi de shi yun ying 。,9月26日，百度宣布，在湖南省长沙市的特定公路上启动无人操作的“4级”完全自动驾驶出租车队Robotaxi的试运营。,"9月26日，百度宣布，在湖南省长沙市的特定公路上启动五人操作的""4级""完全自动驾驶出租车对Robotaxi的试运营。",103,62,0.000000
59,newstest2018.zh-en.xml,sogou_web_data_20180206,15,zuo wei xiao fei zhe quan yi bao hu de zhuan men zu zhi ， zhong guo xiao fei zhe xie hui jin nian 3 yue fen he 12 yue fen liang ci yue tan le gong xiang dan che qi ye 。,作为消费者权益保护的专门组织，中国消费者协会今年3月份和12月份两次约谈了共享单车企业。,作为消费者权益保护的专门组织，中国消费者协会今年3月份和12月份两次约谈了共享单车企业。,100,48,0.000000
60,newstest2017.zh-en.xml,bbc.242405,6,na duan shi jian ， pin pai ce lve shi shi yong ‘RBS’ lai bao hu qi ta xiao fei jin rong pin pai 。,那段时间，品牌策略师使用‘RBS’来保护其它消费金融品牌。,那段时间，品牌策略是使用'RBS'来保护其他消费金融品牌。,68,34,0.000000
61,wmttest2023.zh-en.xml,jingji_guancha_bao-zh-01.22009,14,zai lao dong li shi chang gong xu jin zhang ， jin suo zheng ce ying xiang bu ming de qing kuang xia ， wo men ren wei mei lian chu nian mo dui yu jia xi de zhi yin shi xiang dui he li de ， shi chang ji duan yu qi de tiao zheng he jiao yi de yong ji huo jiang dui shi chang chan sheng yi ding shang hai 。,在劳动力市场供需紧张，紧缩政策影响不明的情况下，我们认为美联储年末对于加息的指引是相对合理的，市场极端预期的调整和交易的拥挤或将对市场产生一定伤害。,在劳动力市场供求紧张，紧缩政策影响不明的情况下，我们认为美联储年末对于加息的指引是相对合理的，市场极端于期的调整和交易的勇气或将对市场产生一定伤害。,136,84,0.000000
62,newstest2018.zh-en.xml,euronews-en.117981,11,ying guo jing fang yi jing biao shi ， ta men ren wei lun dun ge lun fei er da lou de ge re huo fu mian ban xi tong de wen ti ke neng shi dao zhi  6  yue fen huo xun su man yan de yuan yin ， zhe chang da huo zao cheng yue  80  ren si wang da 。,英国警方已经表示，他们认为伦敦格伦费尔大楼的隔热和覆面板系统的问题可能是导致 6 月份火迅速蔓延的原因，这场大火造成约 80 人死亡大。,英国警方已经表示，他们认为伦敦格伦费尔大楼的格雷火焰面板系统的问题可能是导致6月份或迅速蔓延的原因，这场大火造成约80人死亡。,127,77,0.000000
