index,dataset,doc_id,seg_id,source_text,reference_english,translated_text,input_tokens,output_tokens,cost
10,wmttest2023.zh-en.xml,GCC-1,41,"zhe ge xuan xiang ,  he ta de fan yi xuan xiang ,  shi na yang de cheng xu gong zuo zai dui ying de mo ren zhi shang .",This choice and its inverse constrain the identical default behavior for that program.,"This option, and its translation option, are how the program works on the corresponding default values.",58,19,0.000000
11,wmttest2023.zh-en.xml,chinanews.com.280870,1,fei yong sheng yi ban shen zhi geng duo ？,Spare at slightest half the cost?,Half of the expenses or even more?,30,8,0.000000
12,newstest2018.zh-en.xml,washpost.116881,16,huo gen bing bu shi yi ge fan dong de ji zao fen zi 。,Hogan is not a reactionary hothead.,Huo Gen is not a reactionary agitator.,34,10,0.000000
13,newstest2019.zh-en.xml,chinanews.com.1466,6,ta ren wei ， zhi you jiang li shi ming ke zai xin zhong ， fang neng jiang kang zhan jing shen chuan cheng xia qu 。,He believes that only by engraving history in the heart can the spirit of the war of resistance be passed down.,He believes that only by keeping history in mind can the spirit of the War of Resistance be passed on.,51,21,0.000000
14,wmttest2023.zh-en.xml,chinese.dw.com.9579,28,a la si jia da di zhen （1964 nian ）,The Great Alaskan Earthquake of 1964,The 1964 Alaska earthquake,33,8,0.000000
15,newstest2021.zh-en.xml,chinanews.com.229486,6,2 yue 28 ri ， yi se lie ben tu que zhen di yi li xin guan fei yan bing li ， yi xun su cai qu le guan bi suo you chu ru jing kou an ， zan ting fei bi yao hang ye ， xue xiao gai wei wang shang shou ke ， xian zhi gong gong jiao tong he fei bi yao she jiao huo dong ， feng suo yi qing yan zhong cheng shi ， jun jing lian he wei hu fang kong ju cuo deng 。,"On February 28, the first case was confirmed in Israel and prompt measures were taken to close all entry and exit points, suspend non-essential industries, and urge all schools to take classes online; moreover, they restricted public transportation and non-essential social activities, sealed off cities with severe outbreaks, and combined military and police efforts to maintain effective control and prevention measures.","On February 28, after confirming its first domestic case of COVID-19, Israel rapidly took measures including closing all entry and exit ports, suspending non-essential aviation, switching schools to online classes, restricting public transportation and non-essential social activities, locking down cities with severe outbreaks, and deploying joint military and police forces to maintain epidemic prevention and control measures.",127,74,0.000000
16,newstest2020.zh-en.xml,chinanews.com.102756,1,yue 8 yi ren ci guo qing chu you zhe she zhong guo lv you gong xu liang wang,The approximately 800 million tourist trips during the National Day holiday reflects booming demand and supply in Chinese tourism industry,"More than 800 million people traveled during the National Day holiday, according to the Ministry of Culture and Tourism.",41,24,0.000000
17,wmttest2022.zh-en.xml,social_zh_douban.com_210174796,3,di shi ba tiao   gong an bu xiao fang ju shi yi ji zhu ce xiao fang gong cheng shi zi ge de zhu ce shen pi bu men 。,Article 18 the Fire Station of the Ministry of Public Security is the registration and approval department for qualification of the registered fire engineers of Class 1.,Article 18: The Fire and Rescue Department of the Ministry of Public Security is the registration and approval authority for the qualifications of Level I Registered Fire Engineers.,53,32,0.000000
18,newstest2019.zh-en.xml,chinanews.com.1800,5,mu qian ， shang hai di qu ying er si wang lv jiang zhi 3.71 ‰ ，  ming xian di yu quan guo ping jun shui ping ， da dao fa da guo jia de xian jin shui ping 。,"Currently, the infant mortality rate in Shanghai has dropped to 3.71‰, which is significantly lower than the national average level and has reached the advanced level of developed countries.","At present, the infant mortality rate in the Shanghai area has dropped to 3.71‰, which is significantly lower than the national average, reaching the advanced level of developed countries.",72,38,0.000000
19,newstest2020.zh-en.xml,chinanews.com.102805,3,CCF da shu ju xue shu hui yi yi jia qiang cong shi da shu ju ling yu guo nei wai xue zhe zhi jian lian xi yu jiao liu ， cu jin duo xue ke jiao cha rong he yu da shu ju chan ye fa zhan wei zong zhi ， li jing 7 jie ， yi fa zhan cheng wei yi ke yan cheng guo jiao liu wei zhu 、 guo nei zui you ying xiang de da shu ju xue shu hui yi ， hui yi nei rong kuo zhan dao ji chu li lun 、 ji shu ying yong deng ling yu 。,"CCF Big Data seeks to strengthen contact and exchange between domestic and overseas researchers whose focus is the field of big data field and promote multidisciplinary fusion and development in the big data industry, and after seven successive conferences, the event has become the most influential academic conference focused on big data, and mainly promotes the exchange of scientific research achievements, and has also extended its reach to cover fundamental theory, technical applications, and other fields.","With the aim of strengthening communication and exchange among domestic and international scholars in the field of big data, as well as promoting interdisciplinary integration and the development of the big data industry, the CCF Big Data Academic Conference has been held for seven sessions. It has grown into the most influential academic conference on big data in China, focusing primarily on the exchange of research achievements, with content expanding into areas such as basic theory and technical application.",155,87,0.000000
20,newstest2018.zh-en.xml,cctv_news_1217,440,wo guo kong jian ke xue wei xing xi lie de shou fa xing ， tong shi ye shi shi jie shang shou ke an wu zhi li zi tan ce wei xing wu kong,"The first satellite in China's space science satellite series and the world's first dark matter particle detection satellite, Wukong,","It is the first satellite in our country's space science satellite series, and also the world's first dark matter particle exploration satellite, Wukong.",61,32,0.000000
21,newstest2018.zh-en.xml,014_wemedia,5,bi sai jie shu hou ， dui zhang jiang cuo biao shi ， ta xi wang tong guo can jia bi sai ji lei jing yan ， wei xi zang de lan qiu shi ye jin li 。,"After the competition ended, captain Jiang Cuo said that he hoped to gain experience from taking part in the competition, and do his best for Tibetan basketball.","After the match, team captain Jiang Cuo stated that he hopes to accumulate experience through participating in competitions and contribute to the development of basketball in Tibet.",62,30,0.000000
22,newsdev2017.zh-en.xml,abcnews.199680,12,fan dui zhe men ze biao shi ， ta men dan you gai zhou jiang tong guo zhe liang tiao sui dao cong sa ke la men tuo he yi ji jiu jin shan wan zhong fen liu tai duo de shui ， cong er dui jia li fu ni ya zhou bei bu zao cheng sun hai ， bing jin er wei xie na li wu zhong de sheng cun 。,"Opponents say they fear the state will use the tunnels to divert too much water from the Sacramento River and San Francisco Bay, harming Northern California and further endangering native species there.","Opponents, however, argue that they are concerned the state will use these two tunnels to divert too much water from the Sacramento River and the San Francisco Bay, thereby causing damage to Northern California and further threatening the survival of species there.",103,47,0.000000
23,wmttest2023.zh-en.xml,grocery-3-zh_0192439-140,5,hai you pai xia shi ti shi er shi ji hao dao ， zhe ge shi 14 hao shou dao de ， wo di yi ci zai zhe li hai wai gou ， zhi shi ba zi ji de yi huo xie xia lai ， huo xu zhe dou shi zheng chang de ？,"When I shot the picture, there was also a notification indicating it would arrive on the 20th, on the 14th, I got this one, this is my first buy from abroad, I simply noted my reservations, perhaps this is typical?","Hi, the shipping notification said the 12th, but I received this on the 14th. This is my first time shopping here from overseas, I'm just writing down my concerns, perhaps this is all normal?",80,48,0.000000
24,newstest2018.zh-en.xml,124_content_27676754,1,ju ju zu yi ming yan yuan tou lu ， zhang mo zai xian chang shi ge xin si xi ni de ren ， cong qun zhong yan yuan dao fu hua dao ， fang fang mian mian dou yao qin zi ding dao wei 。,"According to an actor in the cast, Zhang Mo is attentive to detail at the set. He would personally attend to every aspect at the set, from the extras to costume and makeup.","According to an actor, Zhang Mo is a meticulous person on set, personally overseeing every detail, from the extras to the hair and makeup.",69,28,0.000000
25,newstest2020.zh-en.xml,chinanews.com.102645,12,bao dao zhi chu ， xin ban 《 bi hu yu yi min fa 》 yi jing ban bu yi nian ， ta dao zhi zhi zheng dang nei bu yi jian fen qi ， dan tong shi you wu fa an fu you pai fan dui dang 。,"As reported, the new version of the Asylum and Immigration Act has been enacted for a year, leading to dissension within the ruling party and failure to appease the right-wing opposition party.","The report points out that the new version of the ""Asylum and Immigration Act"" has been promulgated for one year. It has caused internal disagreements within the governing party, but at the same time, it has failed to appease the right-wing opposition parties.",72,52,0.000000
26,wmttest2023.zh-en.xml,gb-2,4,biao  3  zhong mei you zhi ming de si zi jie ren ma wei fen pei jian  6.3。,See 6.3 for the task of four-byte human code focuses not indicated in Table 3.,Table 3: Distribution of horse tail components in dead-knot-free branches (6.3).,44,21,0.000000
27,newstest2017.zh-en.xml,ifeng0812.news.49766540_0,4,shu ju xian shi ， zui jin １０ nian li ， xin xi lan nian jun yi min jing liu ru shu liang wei ２.１８ wan ren ， nian jun ren kou zi ran zeng zhang shu liang wei ３.２３ wan ren 。,"Data shows that in the last 10 years, the average annual net inflow of immigrants in New Zealand is 21,800, with natural population growth of 32,300 people.","Data shows that over the past 10 years, New Zealand's average annual net migration was 21,800, and the average annual natural population increase was 32,300.",79,44,0.000000
28,newstest2021.zh-en.xml,voa-voachinese.2104,8,wei ji ni ya zhou de a ling dun xian xing qi wu ye jia ru le su song 。,"On Friday, Virginia’s Arlington County also joined the lawsuit.",Arlington County in Virginia joined the lawsuit on Friday.,41,11,0.000000
29,wmttest2022.zh-en.xml,xinhua-zh-01.104145,12,zhe xiang fa ming zai jin nian di 44 jie rui shi ri nei wa guo ji fa ming zhan zhong huo de yin jiang 。,"This invention was awarded with a golden prize in the 44th International Exhibition of Inventions in Geneva, Switzerland in this year.",This invention won a silver medal at the 44th International Exhibition of Inventions of Geneva in Switzerland this year.,52,24,0.000000
30,newsdev2017.zh-en.xml,peopledaily0812.energy.c71661-28631514,16,ye nei ren shi biao shi ， he dian zhan xiang mu bu jin you zhu yu ying guo min zhong jiang di yong dian cheng ben ， er qie jiang la dong dang di jing ji 、 dai dong jiu ye 。,"According to insiders, projects of nuclear power stations are instrumental in the reduction of electricity cost for the British public, while at the same time driving local economy and employment.",The industry insiders stated that the nuclear power plant project will not only help the British public reduce electricity costs but will also stimulate the local economy and drive employment.,71,31,0.000000
31,newsdev2017.zh-en.xml,ifeng0812.news.49767923_0,3,shuang fang hai jiang gong tong da zao nong cun dian zi shang wu quan guo xing shi fan cheng shi ， tui dong chan ye jie gou tiao zheng he you hua sheng ji 。,"The two parties will also jointly make Leting a national demonstrative city for rural e-commerce and facilitate the adjustment, optimization and upgrading of the county's industrial structure.","Both sides will also work together to build a national demonstration city for rural e-commerce, promoting the adjustment and optimization and upgrading of industrial structure.",62,29,0.000000
32,newstest2021.zh-en.xml,chinanews.com.229793,2,2020-07-26 20:26:01  lai yuan ： zhong guo xin wen wang   zuo zhe ： yue chuan   ze ren bian ji ： yue chuan,2020-07-26 20:26:01 Source: chinanews.com Writer: Yue Chuan Editor Yue Chuan,2020-07-26 20:26:01 Source: China News Service Author: Yue Chuan Responsible Editor: Yue Chuan,63,35,0.000000
33,newstest2019.zh-en.xml,qq.com.240,14,wu shu ying lie yi xian xue jiao guan li xiang ， yong sheng ming jian xing xin yang ， ming ji ta men de ying ming ， chuan cheng ta men de jing shen ， jiu shi shou hu min zu de gen yu hun 。,"Countless heroes and martyrs enrich ideals with blood, practice faith with life. To remember their names and inherit their spirit, is to protect the nation's root and soul.","Wu Shuying and other martyrs shed their blood to irrigate their ideals, fulfilling their faith with their lives. Remembering their names and carrying forward their spirit means safeguarding the roots and soul of our nation.",76,41,0.000000
34,newstest2019.zh-en.xml,chinanews.com.1625,7,zhi yin guo qu sheng huo zai zhe zuo cheng shi de ren men bao shou wu mai zhi ku ， you ci ge wai ke pan lan tian ， er zai bei jing da xiang “ lan tian bao wei zhan  ” ，  chi xu gai shan kong qi zhi liang hou ， wu mai bian shao ， lan tian zeng duo ， min zhong kan zai yan li xi zai xin shang ， huo de de xing fu gan ye shi ge wai you fen liang 。,"That's because they had been suffering from the fog and haze in this city in the past. They looked forward to the blue sky eagerly. After starting the ""Blue Sky Protection Campaign"" in Beijing to continuously improve the air quality, there were less fog and haze, but more blue skies. The residents were joyful to see this. And they felt so happy with it.","People who have lived in this city for a long time have suffered from smog, and thus they have an extra longing for blue skies. Since Beijing launched the ""Blue Sky Defense War"" and continuously improved air quality, smog has decreased and blue skies have increased. The public sees this and feels it in their hearts, and the sense of happiness and fulfillment they have gained is particularly profound.",130,77,0.000000
35,newstest2017.zh-en.xml,sina0812.tech.doc-ifxuxnai9861987-p3,1,zi iPhoneSE jing yan liang xiang zhi hou ， shou ji shi chang ye ying lai le xiao ping ji de re chao 。,"Since the stunning debut of iPhoneSE, the mobile phone market also ushered in a small screen machine boom.","After the iPhone SE's stunning debut, the mobile phone market has also ushered in a craze for small-screen phones.",48,25,0.000000
36,wmttest2023.zh-en.xml,digital_ebook_purchase-3-zh_0263846-153,5,ju li ji you guo nei de you you guo wai de ; ji you zhi ming qi ye jia huo xiao shou yuan you you ming bu jian jing zhuan de ren 。,"There are both domestic and foreign entrepreneurs or salespeople, for example, as well as unknown individuals.","There are both domestic and foreign people; there are both well-known entrepreneurs or salespeople, and people who are not well-known.",59,27,0.000000
37,wmttest2022.zh-en.xml,social_zh_weibo.com_148754204,9,sheng li qi qian you yu zi gong chong xue he qian lie xian su shi fang guo duo ， rong yi la du zi 。,Girls may have loose bowels before the menstruation due to metryperemia and too much release of prostaglandin.,"Before and during menstruation, the excessive release of uterine congestion and prostaglandins can easily cause diarrhea.",50,18,0.000000
38,newsdev2017.zh-en.xml,ifeng0812.news.49765487_0,4,xian zai wo men da suan yong shui ni jiao zhu di ba ， zhe yang fang hong hu an hui geng jian gu ， ke yi di yu 50 nian yi yu de hong shui 。”,"We're now planning to infill the dam with cement, and the flood prevention bank will be solid enough to withstand the worst flooding in 50 years.""","""We are now planning to use concrete to pour the floor, which will make the flood embankment stronger and able to withstand a 50-year flood.""",64,32,0.000000
39,newstest2018.zh-en.xml,alibaba_web_data_20180124,225,qu bie yu chuan tong de da mai chang 、 chao shi ， he ma xian sheng zai hen duo xiao fei zhe yan li shi yi jia hao wan hao chi de “ wang hong dian ”， shen zhi you zhong jie ji gou da chu le “ he qu fang ” de gai nian 。,"Unlike traditional hypermarkets and supermarkets, Hema Supermarket is, in the eyes of many consumers, a popular Internet store that is fun and has good food. Some intermediaries have even come up with the concept of “He district housing” (housing within a 3km radius of a Hema Supermarket).","Different from traditional supermarkets and hypermarkets, Hema Fresh is seen by many consumers as a fun and delicious ""internet-famous store,"" with even some real estate agencies promoting the concept of ""Hema-adjacent housing.""",84,44,0.000000
40,newstest2018.zh-en.xml,004_3810009,1,jie zhi dang ri shou pan ， niu yue shang pin jiao yi suo 2016 nian 8 yue jiao huo de qing zhi yuan you qi huo jia ge shang zhang 2.04 mei yuan ， shou yu mei tong 46.80 mei yuan ， zhang fu wei 4.56%。,The price of light crude oil futures for August 2016 ended the day up US$2.04 or 4.56% at US$46.80 pbl on the New York Mercantile Exchange.,"As of the market close that day, the price of light sweet crude oil futures for August 2016 delivery on the New York Mercantile Exchange rose by $2.04 to close at $46.80 per barrel, an increase of 4.56%.",97,58,0.000000
41,wmttest2023.zh-en.xml,chinanews.com.280817,19,( ren min ri bao   ji zhe   yan   huan ),(People's Day by day columnist Yan Huan),(People's Daily reporter Yan Huan),32,9,0.000000
42,newstest2017.zh-en.xml,sina0812.news.doc-ifxuxnpy9305340,12,ru ， si chuan yao qiu ， ge di gong an pai chu suo huo zhe shou wei tuo de she qu fu wu ji gou yao yan ge zhi xing he ding de shou fei xiang mu ji shou fei biao zhun ， jian jue jin zhi chao fan wei 、 chao biao zhun shou fei huo da che shou fei 。,"For example, Sichuan required the local police stations or commissioned community service agencies shall strictly enforce the approved fees and charges standard and resolutely prohibit over-range, over-standard fees or ride fees.","In Sichuan, the requirements mandate that local police stations or their entrusted community service agencies must strictly enforce the approved fee items and standards, and firmly prohibit charging beyond the specified scope or standard, or charging arbitrarily.",101,41,0.000000
43,newstest2021.zh-en.xml,xinhua-zh-01.120581,4,jiu jiang shi xun yang qu ren wu bu fu bu zhang wang hui shuo ， shou hong zai ying xiang ， ta men cong 25 ri kai shi ， ji zhong 3 tian shi jian zu zhi ying zheng qing nian ti jian 。,"Wang Hui, the vice director of the People’s Armed Forces Department of Xunyang District, Jiujiang City, Jiangxi Province, said that influenced by the flooding, they would organize physical examinations for the young people to be recruited within three days of July 25th.","Wang Hui, deputy head of the People's Armed Forces Department of Xunyang District, Jiujiang City, stated that due to the impact of the flood, they began organizing physical examinations for military recruits on the 25th, over a concentrated period of three days.",81,56,0.000000
44,newstest2019.zh-en.xml,chinanews.com.9951,8,zhan shi de cheng guo chuang xin huo yue 、 ying yong fan wei guang 、 fu she dai dong zuo yong da ， fan ying liao dang shi quan qiu hu lian wang ling yu zui xin 、 zui zhong yao de ke ji cheng guo tu po ， ti xian le wang luo xin xi ling yu fa zhan de su du he wei lai qian jing 。,"The achievements exhibited are innovative, dynamic, widely applied and radiation-driven, reflecting the latest and most important breakthroughs of scientific and technological achievements in the global Internet field at that time, and reflecting the speed and future prospects of the development of the network information field.","The showcased achievements are characterized by active innovation, a wide range of applications, and a significant radiating and driving effect. They reflect the latest and most important scientific and technological breakthroughs in the global internet field at that time, embodying the speed of development and future prospects in the cyber information sector.",109,57,0.000000
45,wmttest2022.zh-en.xml,ecommerce_zh_jd.com_93697042,1,xiao bian wei da jia dai lai ou mi jia ji xie dui biao na kuan hao ？,I’ll introduce which is the best pair of OMEGA mechanical watches?,"Editor, which Omega mechanical watch would you recommend for everyone?",40,12,0.000000
46,newstest2018.zh-en.xml,sogou_web_data_20180206,77,zai jia nian hua de xian chang ， shi min men chu le ke yi xuan gou xin yi de nong chan pin zhi wai ， hai ke can guan zhan lan qu zhan chu de ben di te xuan xin xian nong zuo wu ji you yu 。,"At the carnival, in addition to being able to shop for the agricultural produce of their choice, residents can also visit the special selection of local fresh agricultural produce and fish fry on display at the exhibition area.","At the carnival site, in addition to purchasing their preferred agricultural products, citizens can also visit the exhibition area to view local specialty fresh crops and seafood.",76,30,0.000000
47,newstest2017.zh-en.xml,reuters.165952,5,liang ren 2015 nian jiao na le 20.3% de lian bang shui 。,They paid a federal effective tax rate of 20.3 percent in 2015.,"In 2015, the couple paid 20.3% in federal taxes.",41,20,0.000000
48,newstest2020.zh-en.xml,nhan_dan-zh.330,5,ou meng wei yuan hui zhu xi rang - ke luo de • rong ke biao shi ， jia qiang dui jie shi shang shu zhu zhang de yi bu fen ， yin wei qi gei you guan ge guo ren min ji jing ji dai lai li yi 。,President of the European Commission Jean-Claude Juncker said that enhanced cooperation was part of the above-mentioned proposition because it benefitted the peoples and economies of the countries concerned.,"European Commission President Jean-Claude Juncker stated that strengthening alignment is part of the aforementioned proposal, because it brings benefits to the people and economies of the countries concerned.",74,33,0.000000
49,newstest2020.zh-en.xml,chinanews.com.102737,6,ju jie shao ，8 ke yuan xing jin zhi ji nian bi wei pu zhi bi ， han chun jin 8 ke ， zhi jing 22 hao mi ， mian e 100 yuan ， cheng se 99.9 % ，  zui da fa xing liang 10000 mei 。,"The 8-gram round gold commemorative coin is a bullion coin containing 8 grams of gold that is 22 mm in diameter and has a face value 100 yuan, a purity of 99.9%, and a maximum circulation of 10,000 coins.","According to the introduction, the 8-gram round gold commemorative coin is a bullion coin, containing 8 grams of pure gold, with a diameter of 22 mm, a face value of 100 yuan, a fineness of 99.9%, and a maximum mintage of 10,000 pieces.",91,71,0.000000
50,newstest2018.zh-en.xml,dailymail.co.uk.233026,25,zheng ju biao ming zuo wei wo men yu fang ai zi bing du he zhi chuan bo zhe zhong zhi ming de gan ran ji bing de fang fa de yi bu fen ， zhe zhong yao wu ke yi dai lai zen me yang de bian ge 。,The evidence shows just how transformative this drug can be as part of our approach to HIV prevention and ending the transmission of this life-changing infection.,Evidence shows what kind of changes this drug can bring about as part of our method for preventing HIV and arresting the spread of this deadly infectious disease.,74,29,0.000000
51,newstest2019.zh-en.xml,chinanews.com.9912,15,shi guan jiang shi zhong ben zhe “ yi ren wei ben ” yuan ze ， chi xu guan zhu ci shi ， tui dong meng fang ji xu quan li sou jiu ， bing wei dang shi ren jia shu ti gong zui da xian du de xie zhu 。,"The embassy would always follow the principle of ""people first"", sustain attention to this matter, push the Mongolian side to continue the all-out search and rescue operation and provide maximum assistance to the two persons' families.","The Consulate General has been adhering to the principle of ""people-centeredness,"" continuously monitoring this matter, urging the Mongolian side to continue search and rescue efforts with all its might, and providing maximum assistance to the families of those involved.",76,47,0.000000
52,newstest2017.zh-en.xml,cbsnews.146232,21,jin guan bai er si jian cheng zi ji zai chang nian zhan ju guan jun bao zuo de guo cheng zhong bing mei you ji hua wei lai ， dan shi shi bu wan quan shi zhe yang de 。,"While Biles insisted she's never looked ahead during her long run at the top, that's not exactly true.","Although Biles claims she didn't plan for the future during her years dominating the top spot, the reality is not entirely that way.",67,28,0.000000
53,wmttest2022.zh-en.xml,en_zh-TW_CLIENT-05_2020-12-20-168_doc03,1,wo you zai #PRS_ORG# dui mian deng,Then I waited opposite to #PRS_ORG#.,I am waiting across from #PRS_ORG#.,29,10,0.000000
54,newstest2021.zh-en.xml,voa-voachinese.2098,23,liu yi si de yi ti jiang bei yun song dao a la ba ma zhou de shou fu meng ge ma li 。,"Then, Lewis’s remains will be shipped to Alabama’s capital city Montgomery.","Liu Yi Si's body will be transported to Montgomery, the capital of Alabama.",43,17,0.000000
55,newsdev2017.zh-en.xml,foxnews.68173,6,ran er xian zai ， dang xu yao fan dui pai shi jia bi yi wang geng duo ya li yi zai jin nian cu cheng gong min tou piao zhi shi ， bing fei quan guo ren min dou biao xian chu tong yang de re qing 。,"Yet now, when the opposition needs to apply more pressure than ever to make the referendum happens this year, people across the country are not showing the same energy.","As it stands now, when it is necessary to put more pressure on the opposition than ever before to facilitate a public referendum this year, the entire nation has not shown the same level of enthusiasm.",79,39,0.000000
56,newstest2018.zh-en.xml,sogou_web_data_20180206,36,zhe xiang yan jiu you ao da li ya guo li da xue kai zhan ， wan zheng jie guo fa biao zai ben yue de ying guo 《 ke xue bao gao 》 za zhi shang 。,This study was conducted by the Australian National University. The full results were published in this month’s UK based “Scientific Reports” magazine.,"This study was conducted by the Australian National University, and the complete results were published in this month's British journal *Scientific Reports*.",70,27,0.000000
57,newstest2021.zh-en.xml,voa-voachinese.2105,9,xing qi wu ， cheng qian shang wan de bo lan ren ( qi zhong da bu fen shi fu nv ) zai hua sha he qi ta yi xie cheng shi ju xing fan dui tui chu gong yue de kang yi 。,"On Friday, thousands of Polish people (mostly women) protested against withdrawing from the convention in Warsaw and other cities.","On Friday, tens of thousands of Poles (most of whom were women) held protests in Warsaw and several other cities against the withdrawal from the convention.",69,30,0.000000
58,newstest2020.zh-en.xml,nikkei-.111,1,9 yue 26 ri ， bai du xuan bu ， zai hu nan sheng zhang sha shi de te ding gong lu shang qi dong wu ren cao zuo de “4 ji ” wan quan zi dong jia shi chu zu che dui Robotaxi de shi yun ying 。,"On September 26, Baidu announced that it would start trial operations of an unmanned “Level 4” full self-driving Robotaxi taxi fleet on certain roads in Changsha, Hunan Province.","On September 26, Baidu announced the launch of a trial operation for its Level 4 fully autonomous robotaxi fleet on specific roads in Changsha, Hunan Province.",78,35,0.000000
59,newstest2018.zh-en.xml,sogou_web_data_20180206,15,zuo wei xiao fei zhe quan yi bao hu de zhuan men zu zhi ， zhong guo xiao fei zhe xie hui jin nian 3 yue fen he 12 yue fen liang ci yue tan le gong xiang dan che qi ye 。,"As a special organization protecting the interests of consumers, China Consumers Association met for talks with bike sharing enterprises in March and December this year.","As a dedicated organization for the protection of consumer rights, the China Consumers Association held accountability talks with shared bicycle companies twice, in March and December of this year.",79,32,0.000000
