pinyin,characters,num_characters
bei,"[""㔨"", ""㗗"", ""㛝"", ""㣁"", ""㤳"", ""㫲"", ""㰆"", ""㶔"", ""㷶"", ""㸢"", ""㸬"", ""㸽"", ""㻗"", ""㽡"", ""㾱"", ""䋳"", ""䔒"", ""䟺"", ""䡶"", ""䥯"", ""䩀"", ""䰽"", ""俻"", ""倍"", ""偝"", ""偹"", ""備"", ""僃"", ""北"", ""卑"", ""呗"", ""唄"", ""备"", ""孛"", ""悖"", ""悲"", ""惫"", ""愂"", ""憊"", ""揹"", ""昁"", ""杯"", ""桮"", ""梖"", ""椑"", ""焙"", ""牬"", ""犕"", ""狈"", ""狽"", ""珼"", ""琲"", ""盃"", ""碑"", ""碚"", ""禙"", ""糒"", ""背"", ""苝"", ""蓓"", ""藣"", ""蛽"", ""被"", ""褙"", ""誖"", ""貝"", ""贝"", ""軰"", ""輩"", ""辈"", ""邶"", ""郥"", ""鄁"", ""鉳"", ""鋇"", ""鐾"", ""钡"", ""陂"", ""鞁"", ""鞴"", ""骳"", ""鵯"", ""鹎"", ""𠋭"", ""𠐡"", ""𠢥"", ""𡋭"", ""𢂏"", ""𢃍"", ""𢴾"", ""𢻵"", ""𣎵"", ""𣖾"", ""𣬍"", ""𣬪"", ""𤜲"", ""𤰈"", ""𤳦"", ""𤵛"", ""𤷁"", ""𤹲"", ""𤿒"", ""𤿾"", ""𥏓"", ""𥶓"", ""𦈧"", ""𦈶"", ""𦩖"", ""𦮷"", ""𦾙"", ""𧉥"", ""𧋲"", ""𧶙"", ""𧼠"", ""𩇩"", ""𩔹"", ""𩖠"", ""𩚾"", ""𪱷"", ""𱽎""]",120
ben,"[""㡷"", ""㤓"", ""㨧"", ""㮥"", ""㮺"", ""䬱"", ""倴"", ""坋"", ""坌"", ""奔"", ""奙"", ""捹"", ""撪"", ""本"", ""栟"", ""桳"", ""楍"", ""泍"", ""渀"", ""犇"", ""獖"", ""畚"", ""笨"", ""翉"", ""苯"", ""贲"", ""輽"", ""逩"", ""錛"", ""锛"", ""𣄏"", ""𣳰"", ""𣴞"", ""𥢊"", ""𦯀"", ""𨋒"", ""𩣺"", ""𩧼"", ""𪊜"", ""𪎝"", ""𪑖"", ""𱸛""]",42
beng,"[""㑟"", ""㔙"", ""㷯"", ""䋽"", ""䑫"", ""䙀"", ""䨜"", ""䨻"", ""䩬"", ""䭰"", ""䳞"", ""伻"", ""傰"", ""嘣"", ""埄"", ""埲"", ""塴"", ""奟"", ""崩"", ""嵭"", ""揼"", ""泵"", ""琣"", ""琫"", ""甏"", ""甭"", ""痭"", ""祊"", ""絣"", ""綳"", ""繃"", ""绷"", ""菶"", ""蹦"", ""迸"", ""逬"", ""鏰"", ""镚"", ""閍"", ""鞛"", ""𠜳"", ""𠡮"", ""𡎾"", ""𡡈"", ""𡶤"", ""𡾛"", ""𢆸"", ""𢉁"", ""𢐒"", ""𣂤"", ""𣨥"", ""𤙾"", ""𤡭"", ""𤫬"", ""𥀂"", ""𥖗"", ""𥛱"", ""𥞩"", ""𥦜"", ""𦂌"", ""𦅈"", ""𦝷"", ""𦺑"", ""𧑑"", ""𧚭"", ""𧩱"", ""𧻓"", ""𨆊"", ""𨓁"", ""𨕧"", ""𨸂"", ""𨹹"", ""𨻱"", ""𩂦"", ""𩊌"", ""𩑚"", ""𩗴"", ""𪔑"", ""𱤺""]",79
bi,"[""㓖"", ""㘠"", ""㘩"", ""㙄"", ""㠲"", ""㡀"", ""㡙"", ""㢰"", ""㢶"", ""㢸"", ""㧙"", ""㪏"", ""㪤"", ""㮿"", ""㯇"", ""㱸"", ""㳼"", ""㻫"", ""㻶"", ""㿫"", ""䀣"", ""䁹"", ""䃾"", ""䄶"", ""䉾"", ""䊧"", ""䋔"", ""䎵"", ""䏢"", ""䏶"", ""䕗"", ""䖩"", ""䘡"", ""䚜"", ""䟆"", ""䟤"", ""䠋"", ""䣥"", ""䧗"", ""䨆"", ""䩛"", ""䪐"", ""䫁"", ""䫾"", ""䬛"", ""䮠"", ""䮡"", ""䯗"", ""䵄"", ""佊"", ""佖"", ""俾"", ""偪"", ""匕"", ""吡"", ""哔"", ""啚"", ""嗶"", ""坒"", ""堛"", ""壁"", ""夶"", ""奰"", ""妣"", ""妼"", ""婢"", ""嬖"", ""嬶"", ""屄"", ""币"", ""幣"", ""幤"", ""庇"", ""庳"", ""廦"", ""弊"", ""弻"", ""弼"", ""彃"", ""彼"", ""必"", ""怭"", ""怶"", ""愊"", ""愎"", ""敝"", ""斃"", ""朼"", ""枈"", ""柀"", ""柲"", ""梐"", ""楅"", ""榌"", ""比"", ""毕"", ""毖"", ""毙"", ""毴"", ""沘"", ""湢"", ""滗"", ""滭"", ""潷"", ""濞"", ""煏"", ""熚"", ""狴"", ""獘"", ""獙"", ""珌"", ""璧"", ""畀"", ""畁"", ""畢"", ""疕"", ""疪"", ""痹"", ""痺"", ""皕"", ""睤"", ""碧"", ""禆"", ""秕"", ""笓"", ""笔"", ""筆"", ""筚"", ""箄"", ""箅"", ""箆"", ""篦"", ""篳"", ""粃"", ""粊"", ""綼"", ""縪"", ""繴"", ""罼"", ""聛"", ""腷"", ""臂"", ""舭"", ""苾"", ""荜"", ""荸"", ""萆"", ""萞"", ""蓖"", ""蓽"", ""蔽"", ""薜"", ""蜌"", ""螕"", ""袐"", ""裨"", ""襅"", ""襞"", ""襣"", ""觱"", ""詖"", ""诐"", ""豍"", ""貏"", ""貱"", ""賁"", ""贔"", ""赑"", ""跸"", ""蹕"", ""躃"", ""躄"", ""逼"", ""避"", ""邲"", ""鄙"", ""鄨"", ""鄪"", ""鉍"", ""鎞"", ""鏎"", ""鐴"", ""铋"", ""閇"", ""閉"", ""閟"", ""闭"", ""陛"", ""鞸"", ""韠"", ""飶"", ""饆"", ""馝"", ""駜"", ""驆"", ""髀"", ""髲"", ""魓"", ""鮅"", ""鰏"", ""鲾"", ""鵖"", ""鷝"", ""鷩"", ""鼊"", ""鼻"", ""𠈺"", ""𠋯"", ""𠐌"", ""𠓷"", ""𠛡"", ""𠡂"", ""𠦈"", ""𠧅"", ""𠨘"", ""𠩿"", ""𠬈"", ""𠮃"", ""𠽩"", ""𡚁"", ""𡛗"", ""𡠚"", ""𡳄"", ""𡻞"", ""𡽶"", ""𢁽"", ""𢅩"", ""𢐦"", ""𢖬"", ""𢘍"", ""𢟵"", ""𢡅"", ""𢩒"", ""𢲾"", ""𢳋"", ""𢴩"", ""𣁉"", ""𣁢"", ""𣋹"", ""𣔓"", ""𣘥"", ""𣚡"", ""𣝍"", ""𣢠"", ""𣥣"", ""𣦇"", ""𣦢"", ""𣩩"", ""𣭤"", ""𣮐"", ""𣯴"", ""𣴨"", ""𤂀"", ""𤅹"", ""𤐙"", ""𤗚"", ""𤙞"", ""𤜻"", ""𤝸"", ""𤠺"", ""𤡝"", ""𤢣"", ""𤵘"", ""𤹝"", ""𤹦"", ""𤻖"", ""𤽊"", ""𥆯"", ""𥈗"", ""𥏠"", ""𥛘"", ""𥟗"", ""𥢦"", ""𥳆"", ""𥴬"", ""𥷑"", ""𦂖"", ""𦑞"", ""𦔆"", ""𦠞"", ""𦤫"", ""𦯛"", ""𦰙"", ""𦱔"", ""𦸣"", ""𧏻"", ""𧒀"", ""𧓄"", ""𧤃"", ""𧥑"", ""𧫤"", ""𧲜"", ""𧳠"", ""𨅗"", ""𨋥"", ""𨋩"", ""𨐨"", ""𨚍"", ""𨚓"", ""𨟵"", ""𨠔"", ""𨲋"", ""𨵰"", ""𨸼"", ""𨻼"", ""𩉫"", ""𩊰"", ""𩑻"", ""𩧿"", ""𩪖"", ""𩪧"", ""𩭧"", ""𩲢"", ""𩾳"", ""𪋜"", ""𪌄"", ""𪍪"", ""𪏺"", ""𪐄"", ""𫵘"", ""𮤲"", ""𮩛"", ""𱅈""]",323
bian,"[""㝸"", ""㣐"", ""㦚"", ""㭓"", ""㲢"", ""㳎"", ""㳒"", ""㴜"", ""㵷"", ""㺹"", ""䁵"", ""䉸"", ""䒪"", ""䛒"", ""䟍"", ""䡢"", ""䪻"", ""便"", ""匾"", ""卞"", ""变"", ""変"", ""峅"", ""弁"", ""徧"", ""忭"", ""惼"", ""扁"", ""抃"", ""揙"", ""昪"", ""汳"", ""汴"", ""炞"", ""煸"", ""牑"", ""猵"", ""獱"", ""玣"", ""甂"", ""砭"", ""碥"", ""稨"", ""窆"", ""笾"", ""箯"", ""籩"", ""糄"", ""編"", ""緶"", ""缏"", ""编"", ""艑"", ""苄"", ""萹"", ""藊"", ""蝙"", ""褊"", ""覍"", ""變"", ""貶"", ""贬"", ""辡"", ""辧"", ""辨"", ""辩"", ""辫"", ""辮"", ""辯"", ""边"", ""辺"", ""遍"", ""邉"", ""邊"", ""釆"", ""鍽"", ""閞"", ""鞭"", ""鯾"", ""鯿"", ""鳊"", ""鴘"", ""𠐈"", ""𠑟"", ""𠓫"", ""𠪂"", ""𠭹"", ""𠯴"", ""𠷖"", ""𡈯"", ""𡬯"", ""𡬲"", ""𡬸"", ""𢩟"", ""𢭥"", ""𢴂"", ""𢻶"", ""𣈠"", ""𣝜"", ""𣩀"", ""𣪭"", ""𣸇"", ""𤀫"", ""𤀲"", ""𤄺"", ""𤺇"", ""𤻶"", ""𥍚"", ""𥣝"", ""𥣰"", ""𦇭"", ""𦉙"", ""𦟣"", ""𦽟"", ""𧩰"", ""𨖠"", ""𨖾"", ""𨚕"", ""𨧕"", ""𨩫"", ""𨳲"", ""𩩯"", ""𩰍"", ""𪉱"", ""𪏗"", ""𪓍"", ""𪖯"", ""𱖅""]",128
biang,"[""𰻝"", ""𰻞"", ""𱿗"", ""𲁓""]",4
biao,"[""㟽"", ""㠒"", ""㧼"", ""㯹"", ""㶾"", ""䁃"", ""䁭"", ""䅺"", ""䔸"", ""䙳"", ""䞄"", ""䮽"", ""俵"", ""儦"", ""墂"", ""婊"", ""幖"", ""彪"", ""摽"", ""杓"", ""标"", ""標"", ""檦"", ""淲"", ""滮"", ""瀌"", ""灬"", ""熛"", ""爂"", ""猋"", ""瘭"", ""磦"", ""穮"", ""脿"", ""膘"", ""臕"", ""蔈"", ""藨"", ""表"", ""裱"", ""褾"", ""諘"", ""謤"", ""贆"", ""錶"", ""鏢"", ""鑣"", ""镖"", ""镳"", ""颩"", ""颮"", ""颷"", ""飆"", ""飇"", ""飈"", ""飊"", ""飑"", ""飙"", ""飚"", ""驃"", ""驫"", ""骉"", ""骠"", ""髟"", ""鰾"", ""鳔"", ""𠔂"", ""𠚠"", ""𠬪"", ""𢅚"", ""𢒯"", ""𢿏"", ""𣄠"", ""𤂆"", ""𤆀"", ""𤐫"", ""𥘤"", ""𥲦"", ""𦔗"", ""𦔩"", ""𦠎"", ""𦾑"", ""𧝪"", ""𧥍"", ""𧳀"", ""𧴎"", ""𧴕"", ""𨭚"", ""𩙪"", ""𩪊"", ""𩴩"", ""𩽁""]",92
bie,"[""㔡"", ""㢼"", ""㿜"", ""䇷"", ""䋢"", ""䌘"", ""䏟"", ""䘷"", ""䠥"", ""䭱"", ""䳤"", ""別"", ""别"", ""咇"", ""彆"", ""徶"", ""憋"", ""瘪"", ""癟"", ""莂"", ""虌"", ""蛂"", ""蟞"", ""襒"", ""蹩"", ""鱉"", ""鳖"", ""鼈"", ""龞"", ""𠍯"", ""𡐞"", ""𡘴"", ""𡙀"", ""𡙪"", ""𡷘"", ""𢆣"", ""𢐳"", ""𢛎"", ""𢠳"", ""𣇢"", ""𣊶"", ""𤉤"", ""𤷗"", ""𤺓"", ""𤾵"", ""𥞲"", ""𥡁"", ""𧆊"", ""𧌽"", ""𧝬"", ""𧧸"", ""𧿥"", ""𨂅"", ""𨒜"", ""𩓝"", ""𩠻"", ""𩡟"", ""𩦉"", ""𩵛"", ""𩸁"", ""𪂟"", ""𪐆""]",62
bin,"[""㟗"", ""㯽"", ""㻞"", ""䐔"", ""䚔"", ""䧬"", ""䨈"", ""傧"", ""儐"", ""宾"", ""彬"", ""摈"", ""擯"", ""斌"", ""梹"", ""椕"", ""槟"", ""檳"", ""殡"", ""殯"", ""氞"", ""汃"", ""滨"", ""濒"", ""濱"", ""濵"", ""瀕"", ""玢"", ""瑸"", ""璸"", ""砏"", ""繽"", ""缤"", ""膑"", ""臏"", ""虨"", ""豩"", ""豳"", ""賓"", ""賔"", ""邠"", ""鑌"", ""镔"", ""霦"", ""顮"", ""髌"", ""髕"", ""髩"", ""鬂"", ""鬓"", ""鬢"", ""𠴇"", ""𡦆"", ""𡦻"", ""𡧼"", ""𢲰"", ""𣉮"", ""𣢏"", ""𣰨"", ""𥃰"", ""𧷟"", ""𧸈"", ""𨐰"", ""𨽗"", ""𩆱"", ""𩴱"", ""𪇕""]",67
bing,"[""㓈"", ""㨀"", ""䔊"", ""䗒"", ""䴵"", ""丙"", ""並"", ""仌"", ""仒"", ""併"", ""倂"", ""偋"", ""傡"", ""兵"", ""冫"", ""冰"", ""垪"", ""寎"", ""并"", ""幷"", ""庰"", ""怲"", ""抦"", ""掤"", ""摒"", ""昞"", ""昺"", ""柄"", ""栤"", ""棅"", ""氷"", ""炳"", ""病"", ""眪"", ""禀"", ""秉"", ""稟"", ""窉"", ""竝"", ""苪"", ""蛃"", ""誁"", ""邴"", ""鈵"", ""鉼"", ""鋲"", ""陃"", ""靐"", ""鞆"", ""鞞"", ""餅"", ""餠"", ""饼"", ""鮩"", ""𠊧"", ""𠒝"", ""𠛥"", ""𠱛"", ""𡇤"", ""𡖛"", ""𡚛"", ""𡲍"", ""𡹾"", ""𢆩"", ""𢊜"", ""𢎴"", ""𢔧"", ""𣦪"", ""𣰜"", ""𥖬"", ""𥲂"", ""𦡻"", ""𦼹"", ""𦿅"", ""𨆱"", ""𨋲"", ""𨹗"", ""𩊖"", ""𩋒"", ""𩏂"", ""𩬝"", ""𩮟"", ""𩶁"", ""𪑰""]",84
