Unnamed: 0,Question_ZH-CN,A_ZH-CN,B_ZH-CN,C_ZH-CN,D_ZH-CN,Answer_ZH-CN,Subject,Subcategory_ZH-CN,Question_EN-US,A_EN-US,B_EN-US,C_EN-US,D_EN-US,Answer_EN-US,Subcategory_EN-US,Question_ZH-PY,A_ZH-PY,B_ZH-PY,C_ZH-PY,D_ZH-PY,Answer_ZH-PY,Subject_ZH-PY,Subcategory_ZH-PY
72,环节动物和节肢动物相似之处在于两门的成员都,具有分节的身体,具有封闭的循环系统,通过湿润的膜扩散进行气体交换,具有发达的感觉器官,A,college_biology,biology,Annelids and arthropods are similar to each other in that members of both phyla,have segmented bodies,have a closed circulatory system,conduct gas exchange by diffusion through a moist membrane,have well-developed sense organs,A,biology,huan jie dong wu he jie zhi dong wu xiang si zhi chu zai yu liang men de cheng yuan dou,ju you fen jie de shen ti,ju you feng bi de xun huan xi tong,tong guo shi run de mo kuo san jin xing qi ti jiao huan,ju you fa da de gan jue qi guan,A,college_biology,biology
60,尽管突变发生率有规律性且可预测，但以下哪种说法最不可能是突变频率似乎较低的原因？,一些突变产生的等位基因是隐性的，可能不会表达。,一些不良表型性状可能无法繁殖。,一些突变会引起非常剧烈的表型变化，导致基因库中将其移除。,可预测的突变发生率导致基因库持续变异。,D,high_school_biology,biology,"Although mutations occur at a regular and predictable rate, which of the following statements is the LEAST likely reason the frequency of mutation appears to be low?",Some mutations produce alleles that are recessive and may not be expressed.,Some undesirable phenotypic traits may be prevented from reproducing.,Some mutations cause such drastic phenotypic changes that they are removed from the gene pool.,The predictable rate of mutation results in ongoing variability in a gene pool.,D,biology,jin guan tu bian fa sheng lv you gui lv xing qie ke yu ce ， dan yi xia na zhong shuo fa zui bu ke neng shi tu bian pin lv si hu jiao di de yuan yin ？,yi xie tu bian chan sheng de deng wei ji yin shi yin xing de ， ke neng bu hui biao da 。,yi xie bu liang biao xing xing zhuang ke neng wu fa fan zhi 。,yi xie tu bian hui yin qi fei chang ju lie de biao xing bian hua ， dao zhi ji yin ku zhong jiang qi yi chu 。,ke yu ce de tu bian fa sheng lv dao zhi ji yin ku chi xu bian yi 。,D,high_school_biology,biology
140,在真菌中，细胞壁由以下哪种物质加固？,几丁质,硅,木质素,胶原纤维,A,college_biology,biology,"In fungi, cell walls are reinforced by which of the following?",Chitin,Silica,Lignin,Collagen fibers,A,biology,zai zhen jun zhong ， xi bao bi you yi xia na zhong wu zhi jia gu ？,ji ding zhi,gui,mu zhi su,jiao yuan xian wei,A,college_biology,biology
208,非洲肺鱼常生活在不流动的小淡水池中。其鳃减少，与其他鱼类的不同之处是呼吸空气。不同之处还包括非洲肺鱼排出的氮废物为尿素而不是氨。以下哪种说法正确地解释了这如何对肺鱼有利？,尿素不溶于水并沉于小水池底部。因此，鱼与有毒物质分隔开。,氨有剧毒，会危及栖息在小水池中的肺鱼。,小水池中的其他鱼可使用尿素作为能源来源。,剧毒尿素使小水池不适合竞争对手生存。,B,high_school_biology,biology,"African lungfish often live in small, stagnant, freshwater pools. With reduced gills, they differ from other fish in that they breathe air. They also differ in that they release the nitrogen waste urea instead of ammonia. Which of the following statements correctly explains how this is an advantage for lungfish?",Urea is insoluble in water and sinks to the bottom of the small pools. Thus the poisonous substance is isolated from the fish.,"Ammonia, which is highly toxic, would endanger lungfish that inhabit the small pools.",Other fish in the small pools can use urea as an energy source.,The highly toxic urea makes the pool uninhabitable to competitors.,B,biology,fei zhou fei yu chang sheng huo zai bu liu dong de xiao dan shui chi zhong 。 qi sai jian shao ， yu qi ta yu lei de bu tong zhi chu shi hu xi kong qi 。 bu tong zhi chu hai bao kuo fei zhou fei yu pai chu de dan fei wu wei niao su er bu shi an 。 yi xia na zhong shuo fa zheng que di jie shi le zhe ru he dui fei yu you li ？,niao su bu rong yu shui bing chen yu xiao shui chi di bu 。 yin ci ， yu yu you du wu zhi fen ge kai 。,an you ju du ， hui wei ji qi xi zai xiao shui chi zhong de fei yu 。,xiao shui chi zhong de qi ta yu ke shi yong niao su zuo wei neng yuan lai yuan 。,ju du niao su shi xiao shui chi bu shi he jing zheng dui shou sheng cun 。,B,high_school_biology,biology
172,以下哪项导致根据同源蛋白的氨基酸序列确定不同物种进化相关性的准确性通常不如根据同源基因的核苷酸序列确定相关性？,沉默突变,基因重复,改变基因序列的易位事件,交叉互换,A,high_school_biology,biology,Which of these makes determining the evolutionary relatedness of different species based on the amino acid sequence of homologous proteins generally less accurate than determinations of relatedness based on the nucleotide sequences of homologous genes?,Silent mutations,Gene duplications,Translocation events that change gene sequences,Crossing-over,A,biology,yi xia na xiang dao zhi gen ju tong yuan dan bai de an ji suan xu lie que ding bu tong wu zhong jin hua xiang guan xing de zhun que xing tong chang bu ru gen ju tong yuan ji yin de he gan suan xu lie que ding xiang guan xing ？,chen mo tu bian,ji yin chong fu,gai bian ji yin xu lie de yi wei shi jian,jiao cha hu huan,A,high_school_biology,biology
55,在一项实验中，对两栖动物受精卵的第一个卵裂面进行了处理，使得灰色新月体只存在于第一次卵裂产生的两个卵裂球中的一个中。然后将两个卵裂球分离。卵裂球的预期结局是什么？,带有灰色新月体的卵裂球会比没有灰色新月体的卵裂球更快生长。,带有灰色新月体的卵裂球会形成一个完整但较小的胚胎。,没有灰色新月体的卵裂球会形成一个完整但较小的胚胎。,带有灰色新月体的卵裂球会在第二次卵裂前停止分裂并死亡。,B,college_biology,biology,"In an experiment, the first cleavage plane of an amphibian zygote was manipulated so that the gray crescent was contained in only one of the two blastomeres that result from the first cleavage. The two blastomeres were then separated. What is the expected fate of the blastomeres?",The blastomere with the gray crescent will grow in size more quickly than the one without the gray crescent.,"The blastomere with the gray crescent will form a complete, but small, embryo.","The blastomere without the gray crescent will form a complete, but small, embryo.",The blastomere with the gray crescent will stop dividing and die before the second cleavage.,B,biology,zai yi xiang shi yan zhong ， dui liang qi dong wu shou jing luan de di yi ge luan lie mian jin xing le chu li ， shi de hui se xin yue ti zhi cun zai yu di yi ci luan lie chan sheng de liang ge luan lie qiu zhong de yi ge zhong 。 ran hou jiang liang ge luan lie qiu fen li 。 luan lie qiu de yu qi jie ju shi shen me ？,dai you hui se xin yue ti de luan lie qiu hui bi mei you hui se xin yue ti de luan lie qiu geng kuai sheng zhang 。,dai you hui se xin yue ti de luan lie qiu hui xing cheng yi ge wan zheng dan jiao xiao de pei tai 。,mei you hui se xin yue ti de luan lie qiu hui xing cheng yi ge wan zheng dan jiao xiao de pei tai 。,dai you hui se xin yue ti de luan lie qiu hui zai di er ci luan lie qian ting zhi fen lie bing si wang 。,B,college_biology,biology
24,以下哪项不正确,甲状腺素可增加代谢率,胰岛素可减少糖原储存,加压素可刺激肾脏对水的重吸收,肾上腺素可增加血糖水平和心率,B,high_school_biology,biology,All of the following statements are true EXCEPT,thyroxine increases the rate of metabolism,insulin decreases storage of glycogen,vasopressin stimulates water reabsorption in the kidney,epinephrine increases blood sugar levels and heart rate,B,biology,yi xia na xiang bu zheng que,jia zhuang xian su ke zeng jia dai xie lv,yi dao su ke jian shao tang yuan chu cun,jia ya su ke ci ji shen zang dui shui de zhong xi shou,shen shang xian su ke zeng jia xue tang shui ping he xin lv,B,high_school_biology,biology
85,一只灰色羽毛公鸡和一只表型相同的母鸡产下 17 只灰色、7 只黑色和 8 只白色雏鸡。这些鸡的颜色遗传最简单解释是什么？,灰色性状比黑色性状具有上位性。,灰色性状比白色性状具有上位性。,黑白颜色性状为不完全显性。,黑白颜色性状为共显性。,C,high_school_biology,biology,"A rooster with gray feathers and a hen with the same phenotype produce 17 gray, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colors in chickens?",The trait for gray is epistatic over the trait for black.,The trait for gray is epistatic over the trait for white.,The traits for black and white color demonstrate incomplete dominance.,The traits for black and white color demonstrate codominance.,C,biology,yi zhi hui se yu mao gong ji he yi zhi biao xing xiang tong de mu ji chan xia  17  zhi hui se 、7  zhi hei se he  8  zhi bai se chu ji 。 zhe xie ji de yan se yi chuan zui jian dan jie shi shi shen me ？,hui se xing zhuang bi hei se xing zhuang ju you shang wei xing 。,hui se xing zhuang bi bai se xing zhuang ju you shang wei xing 。,hei bai yan se xing zhuang wei bu wan quan xian xing 。,hei bai yan se xing zhuang wei gong xian xing 。,C,high_school_biology,biology
146,关于你一个肝细胞中的 DNA，以下哪种说法是正确的？,你的肝细胞含有的 DNA 与你白细胞所含 DNA 相同。,你肝细胞的大部分 DNA 将被转录，但不会被翻译。,你肝细胞的大部分 DNA 将在细胞核中被转录，并在细胞质中被翻译。,你肝细胞中的 DNA 含有糖原储存特有基因，而其他细胞不含这些基因。,A,high_school_biology,biology,Which of the following statements about the DNA in one of your liver cells is correct?,Your liver cells contain the same DNA as your white blood cells.,Most of the DNA in your liver cells will be transcribed but not translated.,Most of the DNA in your liver cells will be transcribed in the nucleus and translated in the cytoplasm.,"DNA in your liver cells contains genes unique to storing glycogen, while other cells do not contain those genes.",A,biology,guan yu ni yi ge gan xi bao zhong de  DNA， yi xia na zhong shuo fa shi zheng que de ？,ni de gan xi bao han you de  DNA  yu ni bai xi bao suo han  DNA  xiang tong 。,ni gan xi bao de da bu fen  DNA  jiang bei zhuan lu ， dan bu hui bei fan yi 。,ni gan xi bao de da bu fen  DNA  jiang zai xi bao he zhong bei zhuan lu ， bing zai xi bao zhi zhong bei fan yi 。,ni gan xi bao zhong de  DNA  han you tang yuan chu cun te you ji yin ， er qi ta xi bao bu han zhe xie ji yin 。,A,high_school_biology,biology
82,人体内通过分泌何种物质来维持足够的血清钙水平,甲状腺素,胰高血糖素,生长激素,甲状旁腺激素,D,college_biology,biology,Adequate serum levels of calcium are maintained in humans by the secretion of,thyroxine,glucagon,growth hormone,parathyroid hormone,D,biology,ren ti nei tong guo fen mi he zhong wu zhi lai wei chi zu gou de xue qing gai shui ping,jia zhuang xian su,yi gao xue tang su,sheng zhang ji su,jia zhuang pang xian ji su,D,college_biology,biology
77,沿着格架生长的植物表现出,向触性,向光性,向重力性,负向重力性,A,college_biology,biology,A plant that grows along a trellis exhibits,thigmotropism,phototropism,gravidotropism,negative gravidotropism,A,biology,yan zhe ge jia sheng zhang de zhi wu biao xian chu,xiang chu xing,xiang guang xing,xiang zhong li xing,fu xiang zhong li xing,A,college_biology,biology
132,拟态是一种通过自然选择进化的策略，旨在提高生物对环境的适应性。下列哪项代表贝氏拟态的一种形式？,一种对蟾蜍有毒的千足虫在蟾蜍首次尝试食用后会被蟾蜍永久回避。,一只飞蛾在其尾端展示假眼以迷惑捕食者。,飞蛾呈现出与蛰蜂几乎相同的颜色。,一只在地面筑巢的海鸥雏鸟显示出与周围环境几乎无法区分的色彩图案。,C,college_biology,biology,Mimicry is a strategy that has evolved through natural selection to increase the fitness of organisms to their environment. Which of the following represents a form of Batesian mimicry?,A type of millipede that is toxic to a toad is permanently avoided by the toad following the toad's initial attempt to consume it.,A moth exhibits false eyes at its tail end in order to disorient predators.,A moth exhibits nearly identical coloration to that of a stinging bee.,A ground-nesting gull chick displays a coloration pattern that is nearly indistinguishable from its surroundings.,C,biology,ni tai shi yi zhong tong guo zi ran xuan ze jin hua de ce lve ， zhi zai ti gao sheng wu dui huan jing de shi ying xing 。 xia lie na xiang dai biao bei shi ni tai de yi zhong xing shi ？,yi zhong dui chan chu you du de qian zu chong zai chan chu shou ci chang shi shi yong hou hui bei chan chu yong jiu hui bi 。,yi zhi fei e zai qi wei duan zhan shi jia yan yi mi huo bu shi zhe 。,fei e cheng xian chu yu zhe feng ji hu xiang tong de yan se 。,yi zhi zai di mian zhu chao de hai ou chu niao xian shi chu yu zhou wei huan jing ji hu wu fa qu fen de se cai tu an 。,C,college_biology,biology
179,微管是由微管蛋白亚基组装形成的蛋白丝。化学性秋水仙碱通过与微管蛋白亚基结合，阻止微管组装。使用秋水仙碱对以下哪种细胞过程损害最大？,有丝分裂期间的染色体排列和分离,蛋白质合成期间的核糖体和 mRNA 协调,物质跨质膜的运动,化学渗透期间质子在叶绿体类囊体内的积累,A,high_school_biology,biology,Microtubules are protein filaments assembled from tubulin protein subunits. The chemical colchicine prevents the assembly of microtubules by binding to tubulin protein subunits. Which of the following cellular processes would be most impaired by the application of colchicine?,the alignment and separation of chromosomes during mitosis,the coordination of ribosomes and mRNA during protein synthesis,the movement of substances across the plasma membrane,the accumulation of protons inside the thylakoids of chloroplasts during chemiosmosis,A,biology,wei guan shi you wei guan dan bai ya ji zu zhuang xing cheng de dan bai si 。 hua xue xing qiu shui xian jian tong guo yu wei guan dan bai ya ji jie he ， zu zhi wei guan zu zhuang 。 shi yong qiu shui xian jian dui yi xia na zhong xi bao guo cheng sun hai zui da ？,you si fen lie qi jian de ran se ti pai lie he fen li,dan bai zhi he cheng qi jian de he tang ti he  mRNA  xie tiao,wu zhi kua zhi mo de yun dong,hua xue shen tou qi jian zhi zi zai ye lv ti lei nang ti nei de ji lei,A,high_school_biology,biology
117,为什么陆地生态系统的净初级生产力倾向于向热带地区增加，以下哪项是最好的解释？,热带地区较高的物种多样性倾向于促进植物生长。,在热带地区，植物生长的代谢成本较低。,热带地区充足的水分供应和温暖的气温促进了光合作用。,热带地区有更多的捕食者，这使食草动物的数量降到了最低。,C,college_biology,biology,Which of the following is the best explanation for why net primary productivity in terrestrial ecosystems tends to increase toward the tropics?,The higher species diversity in the tropics tends to increase plant growth.,There are lower metabolic costs to plant growth in the tropics.,The availability of water and warm temperatures in the tropics fosters photosynthesis.,The tropics have more predators that minimize herbivory.,C,biology,wei shen me lu di sheng tai xi tong de jing chu ji sheng chan li qing xiang yu xiang re dai di qu zeng jia ， yi xia na xiang shi zui hao de jie shi ？,re dai di qu jiao gao de wu zhong duo yang xing qing xiang yu cu jin zhi wu sheng zhang 。,zai re dai di qu ， zhi wu sheng zhang de dai xie cheng ben jiao di 。,re dai di qu chong zu de shui fen gong ying he wen nuan de qi wen cu jin le guang he zuo yong 。,re dai di qu you geng duo de bu shi zhe ， zhe shi shi cao dong wu de shu liang jiang dao le zui di 。,C,college_biology,biology
255,金枪鱼、鲨鱼和海豚都有类似的流线型外观，这一情况的最佳原因是什么？,它们有最近共同祖先。,它们维持了同一组突变。,它们获得了一种流线型体型，以在其特定环境中生存。,流线型身体在其环境中有选择性优势。,D,high_school_biology,biology,"What is the best explanation for the fact that tuna, sharks, and dolphins all have a similar streamlined appearance?",They all share a recent common ancestor.,They all sustained the same set of mutations.,They acquire a streamlined body type to survive in their particular environment.,The streamlined body has a selective advantage in that environment.,D,biology,jin qiang yu 、 sha yu he hai tun dou you lei si de liu xian xing wai guan ， zhe yi qing kuang de zui jia yuan yin shi shen me ？,ta men you zui jin gong tong zu xian 。,ta men wei chi le tong yi zu tu bian 。,ta men huo de le yi zhong liu xian xing ti xing ， yi zai qi te ding huan jing zhong sheng cun 。,liu xian xing shen ti zai qi huan jing zhong you xuan ze xing you shi 。,D,high_school_biology,biology
76,种群“固定”基因座比例越高，种群下述情况越低,核苷酸变异。,遗传多倍体。,平均杂合性。,仅 A 和 C,D,high_school_biology,biology,"The higher the proportion of loci that are ""fixed"" in a population, the lower is that population's",nucleotide variability.,genetic polyploidy.,average heterozygosity.,A and C only,D,biology,zhong qun “ gu ding ” ji yin zuo bi li yue gao ， zhong qun xia shu qing kuang yue di,he gan suan bian yi 。,yi chuan duo bei ti 。,ping jun za he xing 。,jin  A  he  C,D,high_school_biology,biology
79,在豌豆中，高大植株（D）的等位基因对矮小植株（D）的等位基因完全显性，紫花色（W）的等位基因对白花色（W）的等位基因完全显性。在一个基因型为 DDWw 的高大紫花植株与一个矮小白花植株的杂交中，预期后代的表现型比例是什么？,全部为高大紫花,1 高大紫花：1 矮小紫花,1 高大紫花：1 高大白花：1 矮小紫花：1 矮小白花,1 高大紫花：1 高大白花,D,college_biology,biology,"In garden peas, the allele for tall plants (D) is completely dominant to the allele for dwarf plants (d) and the allele for violet flower color (W) is completely dominant to the allele for white flower color (w). In a cross between a tall violet plant, with the genotype DDWw, and a dwarf white plant, what phenotypic ratio of the progeny would be expected from this cross?",All tall violet,1 tall violet: 1 dwarf violet,1 tall violet: 1 tall white: 1 dwarf violet: 1 dwarf white,1 tall violet: 1 tall white,D,biology,zai wan dou zhong ， gao da zhi zhu （D） de deng wei ji yin dui ai xiao zhi zhu （D） de deng wei ji yin wan quan xian xing ， zi hua se （W） de deng wei ji yin dui bai hua se （W） de deng wei ji yin wan quan xian xing 。 zai yi ge ji yin xing wei  DDWw  de gao da zi hua zhi zhu yu yi ge ai xiao bai hua zhi zhu de za jiao zhong ， yu qi hou dai de biao xian xing bi li shi shen me ？,quan bu wei gao da zi hua,1  gao da zi hua ：1  ai xiao zi hua,1  gao da zi hua ：1  gao da bai hua ：1  ai xiao zi hua ：1  ai xiao bai hua,1  gao da zi hua ：1  gao da bai hua,D,college_biology,biology
